part,section,class,image,caption,credit,text,position
part1,section1,firstimg,http://media.philly.com/images/IDD_JUSTIN03-1.JPG,"Justin Scott uses his shoulders and elbows to climb back onto his bed after sitting on the floor of his room. Justin has autism, cerebral palsy and has been blind since he was 21.",MICHAEL BRYANT / Staff Photographer,"Annette Scott, 70, had to remove her intellectually disabled son, Justin, 32, from a group home after his retinas detached as a result of head trauma no one claimed to have witnessed. He is now blind.",left
part1,section1,,http://media.philly.com/images/IDD_JUSTIN03-a.JPG,"Justin Scott, who loves keyboards, plays an electric piano in his room.",MICHAEL BRYANT / Staff Photographer,"In his next placement, he broke his femur for reasons no one could explain.",left
part1,section1,,http://media.philly.com/images/IDD_JUSTIN03-b.JPG,"Justin is like anybody else, says his mother Annette Scott.",MICHAEL BRYANT / Staff Photographer,"\""I said, 'Enough is enough,' and moved him home with me,\"" says Scott, who lives in Mount Airy.",left
part1,section1,last,http://media.philly.com/images/IDD_JUSTIN03-d.JPG,"Justin is a sweet and happy guy, says his mother, Annette Scott.",MICHAEL BRYANT / Staff Photographer,,
part2,section1,firstimg,http://media.philly.com/images/ssIDD-ROMICH03-a.JPG,"Jonathan Romich, enjoys hearing the Johnny Cash song ""Ring of Fire,"" performed by Sean Huff, a musician who visits every other Thursday.",MICHAEL BRYANT / Staff Photographer,<strong>Fears of moving on</strong><br><br>The family has moved heaven and earth to let Jonathan and the world know that he is cherished. So it was a big decision to move him out of their home and into one of his own when he became an adult.,left
part2,section1,,http://media.philly.com/images/ssIDD-ROMICH03-c.JPG,Supports worker Cassandra Weil tries to coax Jonathan Romich into walking.,MICHAEL BRYANT / Staff Photographer,"\""Our goal was for him to be engaged, happy and safe,\"" says Eileen.<br><br>Chris was thinking about Jonathan's future.<br><br>\""One day, we won't be here,\"" he says, \""and we wanted him to be set up for whenever that day comes.\""",left
part2,section1,last,http://media.philly.com/images/ssIDD-ROMICH03-03.JPG,"Jonathon Romich with Cassandra Weil, who has been his part of his support staff for over a year. ",MICHAEL BRYANT / Staff Photographer,,right
part3,section1,firstimg,http://media.philly.com/images/IDD_HEPPARD03-b.JPG,Eric Heppard is in the Miracle Bowling League at Thunderbird Lanes in Warminster. Eric has been looking for a job for over three years,MICHAEL BRYANT / Staff Photographer,A stranger wouldn't know any of this by looking at Eric. His physicality alone - he's 6-foot-5 and built like a linebacker - belies his vulnerability.,left
part3,section1,,http://media.philly.com/images/IDD_HEPPARD03-c.JPG,Eric gets ready to high-five a teammate while bowling.,MICHAEL BRYANT / Staff Photographer,"He's also sweet and guileless. As I left the Heppards' home after meeting him for the first time, he blurted out, \""I love you!\""",right
part3,section1,last,http://media.philly.com/images/IDD_HEPPARD03-a.JPG,"Eric celebrates with his bowling coach, Brian Moran, after throwing a strike.",MICHAEL BRYANT / Staff Photographer,"\""I love you, too!\"" I said, because he is easy to love.",left
part4,section1,firstimg,http://media.philly.com/images/idd_clark03-c.JPG,Joann Clark looks at the care instructions label for a blouse that Jessica is about to launder.,MICHAEL BRYANT / Staff Photographer,"Jessica tries not to dwell on the inevitable but she loses her resolve at bedtime, when she talks to her father in her prayers. She says she can sense him near.",left
part4,section1,,http://media.philly.com/images/idd_clark03-01.JPG,Joann has chronic obstructive pulmonary disease and is tethered to oxygen 24 hours a day.,MICHAEL BRYANT / Staff Photographer,"\""I tell him to look over my mom and help me be a strong person because I am really worried about her,\"" says Jessica. \""If she leaves me, like he did, what am I, an orphan? I already lost one parent. I don't want to lose another one because that's not a good feeling right there.\""",right
part4,section1,last,http://media.philly.com/images/idd_clark03-06.JPG,"The Clark family is tiny, so Jessica will need substantial outside support once Joann is gone.",MICHAEL BRYANT / Staff Photographer,,right
